"tconst","averageRating","numVotes","primaryTitle","releaseYear","runtimeMinutes","actorID","actorName","actorBirthYear","actorDeathYear","actorCategory","actorAlive","actorAge","directorID","directorName","directorBirthYear","directorDeathYear","directorAlive","directorAge","genre_Drama","genre_Fantasy","genre_Horror","genre_Crime","genre_Adventure","genre_Mystery","genre_Sci-Fi","genre_War","genre_Romance","genre_History","genre_Comedy","genre_Western","genre_Thriller","genre_Action","genre_Musical","genre_Film-Noir","genre_Music","genre_Documentary","genre_Family","genre_Biography","genre_Adult","genre_Sport","genre_Animation","genre_Reality-TV","genre_News"
"tt0010356",6,40,"Lightning Bryce",1919,300,"nm0514517","Ann Little",1891,1984,"actress",0,28,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010502",6.4,7,"Nachtgestalten",1920,106,"nm0917467","Paul Wegener",1874,1948,"actor",0,46,"nm0652650","Richard Oswald",1880,1963,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010559",6.5,148,"Die Pest in Florenz",1919,92,"nm0065598","Theodor Becker",1880,1952,"actor",0,39,"nm0513617","Otto Rippert",1869,1940,0,50,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010793",7,8,"The Dance of Death",1919,84,"nm0076754","Karl Bernhard",NA,NA,"actor",NA,NA,"nm0513617","Otto Rippert",1869,1940,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010821",6.6,472,"Eerie Tales",1919,112,"nm0073318","Anita Berber",1899,1928,"actress",0,20,"nm0652650","Richard Oswald",1880,1963,0,39,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010961",3.8,5,"Anita",1920,NA,"nm0881653","Lola Urban-Kneidinger",1901,1989,"actress",0,19,"nm0281383","Jacob Fleck",1881,1953,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011031",6.2,49,"The Hunchback and the Dancer",1920,50,"nm0348533","Sascha Gura",1896,1946,"actress",0,24,"nm0003638","F.W. Murnau",1888,1931,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011094",5.5,12,"The Dark Mirror",1920,50,"nm0198272","Dorothy Dalton",1893,1972,"actress",0,27,"nm0316794","Charles Giblyn",1871,1934,0,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011130",7,5006,"Dr. Jekyll and Mr. Hyde",1920,69,"nm0000858","John Barrymore",1882,1942,"actor",0,38,"nm0731910","John S. Robertson",1878,1964,0,42,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0011135",4,5,"The Dream Cheater",1920,50,"nm0449857","J. Warren Kerrigan",1879,1947,"actor",0,41,"nm0911959","Ernest C. Warde",1874,1923,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
